"Min,Max,Modal Price from Karnataka[Groundnut] from 01-Jan-2015To31-Dec-2015 (Total-4664) (Total-4664)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3777,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2000,3638,3148,3-Jan-15
4132,Gadag,Rona,Groundnut,Gejje,FAQ,2246,3060,2580,3-Jan-15
4233,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3209,3589,3400,3-Jan-15
2752,Koppal,Kustagi,Groundnut,Gejje,FAQ,2609,2811,2800,4-Jan-15
3856,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,2200,3870,3000,4-Jan-15
306,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,5-Jan-15
537,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,5-Jan-15
716,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2600,4670,3821,5-Jan-15
977,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,4751,3858,5-Jan-15
1782,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2793,3716,3141,5-Jan-15
1783,Gadag,Gadag,Groundnut,Gejje,FAQ,2216,4031,3229,5-Jan-15
2301,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2201,3449,2569,5-Jan-15
2302,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2670,3609,3019,5-Jan-15
3017,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2539,3820,3489,5-Jan-15
3018,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,2189,4369,3359,5-Jan-15
3497,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,3536,4390,3900,5-Jan-15
3776,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2192,3969,3569,5-Jan-15
4131,Gadag,Rona,Groundnut,Gejje,FAQ,2160,3020,2580,5-Jan-15
4232,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3339,3781,3560,5-Jan-15
4655,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3321,3839,3610,5-Jan-15
305,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,6-Jan-15
536,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,6-Jan-15
976,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4709,3817,6-Jan-15
1780,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2799,3770,3165,6-Jan-15
1781,Gadag,Gadag,Groundnut,Gejje,FAQ,2211,3909,3265,6-Jan-15
2298,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,1509,3501,3169,6-Jan-15
2299,Dharwad,Hubli (Amaragol),Groundnut,Gejje,Medium,2019,2019,2019,6-Jan-15
2300,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,Medium,1669,1669,1669,6-Jan-15
2538,Koppal,Koppal,Groundnut,Gejje,FAQ,3669,4722,4345,6-Jan-15
2614,Bellary,Kottur,Groundnut,Natte,Medium,2669,4781,4062,6-Jan-15
2651,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3700,3700,3700,6-Jan-15
3016,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2319,4035,3558,6-Jan-15
3100,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3600,3000,6-Jan-15
3376,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2689,4369,3093,6-Jan-15
3496,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,2269,4666,3563,6-Jan-15
3775,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2889,4289,3689,6-Jan-15
3779,Bangalore,Ramanagara,Groundnut,Big (With Shell),FAQ,3500,3700,3600,6-Jan-15
4130,Gadag,Rona,Groundnut,Gejje,FAQ,2260,3170,2850,6-Jan-15
4231,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3549,3859,3704,6-Jan-15
4428,Tumkur,Sira,Groundnut,Other,FAQ,2750,3700,3600,6-Jan-15
4654,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3301,3809,3609,6-Jan-15
304,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,7-Jan-15
535,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,7-Jan-15
588,Bidar,Basava Kalayana,Groundnut,Gungri (With Shell),FAQ,4000,4000,4000,7-Jan-15
715,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2809,4578,3855,7-Jan-15
975,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4812,3751,7-Jan-15
1136,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,1800,4961,4273,7-Jan-15
1778,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2469,3909,3406,7-Jan-15
1779,Gadag,Gadag,Groundnut,Gejje,FAQ,2451,3897,3369,7-Jan-15
1955,Chitradurga,Hosadurga,Groundnut,Gejje,Medium,3039,3200,3100,7-Jan-15
2297,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,3829,3829,3829,7-Jan-15
2650,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3600,3700,3700,7-Jan-15
3015,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2589,3930,3515,7-Jan-15
3099,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3500,7-Jan-15
3375,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2692,4269,3181,7-Jan-15
3774,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2699,4148,3748,7-Jan-15
4129,Gadag,Rona,Groundnut,Gejje,FAQ,2650,3040,2850,7-Jan-15
4653,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3765,3765,3765,7-Jan-15
303,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,8-Jan-15
534,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,8-Jan-15
1286,Davangere,Davangere,Groundnut,Gejje,FAQ,3469,3469,3469,8-Jan-15
1776,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2451,3870,3405,8-Jan-15
1777,Gadag,Gadag,Groundnut,Gejje,FAQ,2011,4219,3355,8-Jan-15
1870,Bellary,H.B. Halli,Groundnut,Big (With Shell),Medium,3000,3000,3000,8-Jan-15
2295,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2210,3369,3019,8-Jan-15
2296,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2570,3879,2969,8-Jan-15
2649,Dharwad,Kundagol,Groundnut,Gejje,FAQ,3501,3501,3501,8-Jan-15
3013,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2639,3958,3259,8-Jan-15
3014,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4008,4489,4108,8-Jan-15
3133,Kolar,Mulabagilu,Groundnut,Other,FAQ,3500,4500,4000,8-Jan-15
3374,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2810,3889,3161,8-Jan-15
3773,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2619,3918,3611,8-Jan-15
4128,Gadag,Rona,Groundnut,Gejje,FAQ,2260,3080,2580,8-Jan-15
4230,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3789,4021,3895,8-Jan-15
4652,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3659,3659,3659,8-Jan-15
302,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,9-Jan-15
714,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2000,4779,3827,9-Jan-15
974,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4797,3812,9-Jan-15
1014,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,4000,4500,4200,9-Jan-15
1135,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2169,4831,4286,9-Jan-15
1774,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2433,3812,3401,9-Jan-15
1775,Gadag,Gadag,Groundnut,Gejje,FAQ,2249,4330,3170,9-Jan-15
2294,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3119,3599,3119,9-Jan-15
2537,Koppal,Koppal,Groundnut,Gejje,FAQ,3689,4716,4420,9-Jan-15
2613,Bellary,Kottur,Groundnut,Natte,FAQ,2011,4510,3692,9-Jan-15
3012,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2891,4087,3189,9-Jan-15
3098,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3500,9-Jan-15
3373,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2289,4139,3175,9-Jan-15
3507,Belgaum,Nippani,Groundnut,Big (With Shell),FAQ,3500,3500,3500,9-Jan-15
3772,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2490,3945,3565,9-Jan-15
4365,Bijapur,Sindagi(Hendi),Groundnut,Big (With Shell),FAQ,5000,5000,5000,9-Jan-15
4552,Tumkur,Tumkur,Groundnut,Other,FAQ,2800,3600,3300,9-Jan-15
4651,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,4599,4599,4599,9-Jan-15
973,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3666,4459,4060,10-Jan-15
1772,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2491,3940,3435,10-Jan-15
1773,Gadag,Gadag,Groundnut,Gejje,FAQ,2009,4211,3323,10-Jan-15
1906,Chitradurga,Hiriyur,Groundnut,Big (With Shell),FAQ,2000,4426,3941,10-Jan-15
2292,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2510,3851,2813,10-Jan-15
2293,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,2669,3919,3130,10-Jan-15
2705,Udupi,Kundapura,Groundnut,Gejje,FAQ,2900,3100,3000,10-Jan-15
3010,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2688,4097,3409,10-Jan-15
3011,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,3489,4469,3665,10-Jan-15
3372,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2890,4439,3138,10-Jan-15
3771,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2490,4611,3766,10-Jan-15
4127,Gadag,Rona,Groundnut,Gejje,FAQ,2244,3020,2850,10-Jan-15
4229,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3258,3640,3349,10-Jan-15
4650,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3409,4709,4329,10-Jan-15
1792,Belgaum,Gokak,Groundnut,Big (With Shell),FAQ,2950,3950,3500,11-Jan-15
2751,Koppal,Kustagi,Groundnut,Gejje,FAQ,2509,4209,4200,11-Jan-15
3855,Belgaum,Ramdurga,Groundnut,Gejje,Medium,1900,4219,3200,11-Jan-15
301,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,12-Jan-15
533,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,12-Jan-15
713,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2511,4649,3909,12-Jan-15
972,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3200,4704,3894,12-Jan-15
1013,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,3500,4000,3800,12-Jan-15
1134,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2019,4769,4211,12-Jan-15
1770,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3101,3801,3301,12-Jan-15
1771,Gadag,Gadag,Groundnut,Gejje,FAQ,2009,3939,3410,12-Jan-15
2289,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2239,3569,3325,12-Jan-15
2290,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2630,3669,2785,12-Jan-15
2291,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,3529,3529,3529,12-Jan-15
3008,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2359,4061,3462,12-Jan-15
3009,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,3289,4395,3797,12-Jan-15
3132,Kolar,Mulabagilu,Groundnut,Other,FAQ,3500,4500,4000,12-Jan-15
3495,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,3000,3281,3100,12-Jan-15
3506,Belgaum,Nippani,Groundnut,Big (With Shell),FAQ,3500,3500,3500,12-Jan-15
3770,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2149,4444,3675,12-Jan-15
4126,Gadag,Rona,Groundnut,Gejje,FAQ,2850,4330,3550,12-Jan-15
4228,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3639,4006,3823,12-Jan-15
4291,Gulbarga,Shahapur,Groundnut,Big (With Shell),FAQ,3849,4059,3889,12-Jan-15
4649,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3680,4539,4016,12-Jan-15
532,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,13-Jan-15
971,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,4562,3486,13-Jan-15
1768,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2731,3829,3201,13-Jan-15
1769,Gadag,Gadag,Groundnut,Gejje,FAQ,2009,3880,3406,13-Jan-15
2287,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2439,3625,2851,13-Jan-15
2288,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,2359,3525,2601,13-Jan-15
2536,Koppal,Koppal,Groundnut,Gejje,FAQ,2009,4729,4215,13-Jan-15
2612,Bellary,Kottur,Groundnut,Natte,FAQ,2549,4420,3661,13-Jan-15
3007,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2535,4081,3369,13-Jan-15
3097,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,3800,3500,13-Jan-15
3131,Kolar,Mulabagilu,Groundnut,Other,FAQ,3500,4500,4000,13-Jan-15
3371,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2769,4299,3210,13-Jan-15
3769,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2400,4290,3418,13-Jan-15
4125,Gadag,Rona,Groundnut,Gejje,FAQ,2850,4425,3850,13-Jan-15
4551,Tumkur,Tumkur,Groundnut,Other,FAQ,3500,6500,5100,13-Jan-15
4648,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3869,4529,4115,13-Jan-15
300,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,14-Jan-15
531,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,14-Jan-15
712,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,3540,3940,3723,14-Jan-15
970,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2900,4009,3004,14-Jan-15
1133,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2010,4611,4076,14-Jan-15
1767,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2411,3413,3027,14-Jan-15
2535,Koppal,Koppal,Groundnut,Gejje,FAQ,2009,4729,4251,14-Jan-15
3006,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2712,4018,3199,14-Jan-15
3096,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,3000,4000,3800,14-Jan-15
3130,Kolar,Mulabagilu,Groundnut,Other,FAQ,3500,4500,4000,14-Jan-15
3370,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2844,4339,3246,14-Jan-15
3494,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,2423,2829,2625,14-Jan-15
299,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,16-Jan-15
530,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,16-Jan-15
711,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,3311,4711,3838,16-Jan-15
969,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3409,4277,3815,16-Jan-15
1132,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2500,4609,4017,16-Jan-15
1285,Davangere,Davangere,Groundnut,Gejje,FAQ,3279,3279,3279,16-Jan-15
1765,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2269,3701,3027,16-Jan-15
1766,Gadag,Gadag,Groundnut,Gejje,FAQ,2901,4249,3601,16-Jan-15
2286,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,3729,3729,3729,16-Jan-15
2534,Koppal,Koppal,Groundnut,Gejje,FAQ,2119,4741,4348,16-Jan-15
2611,Bellary,Kottur,Groundnut,Natte,FAQ,2070,4120,3452,16-Jan-15
3004,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2449,3992,3617,16-Jan-15
3005,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,2565,4161,3459,16-Jan-15
3095,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,3000,4000,3500,16-Jan-15
3369,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2869,4189,3277,16-Jan-15
3505,Belgaum,Nippani,Groundnut,Big (With Shell),FAQ,3500,3500,3500,16-Jan-15
4124,Gadag,Rona,Groundnut,Gejje,FAQ,2246,3340,3050,16-Jan-15
968,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2609,2889,2694,17-Jan-15
1763,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2311,3759,3201,17-Jan-15
1764,Gadag,Gadag,Groundnut,Gejje,FAQ,2810,3975,3620,17-Jan-15
2284,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,Medium,1925,2301,1925,17-Jan-15
2285,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,3069,3725,3169,17-Jan-15
2533,Koppal,Koppal,Groundnut,Gejje,FAQ,2119,4741,4348,17-Jan-15
2704,Udupi,Kundapura,Groundnut,Gejje,FAQ,2800,3100,2900,17-Jan-15
3003,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,2639,4043,3689,17-Jan-15
3368,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2269,4409,3258,17-Jan-15
3768,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2349,4512,4069,17-Jan-15
4123,Gadag,Rona,Groundnut,Gejje,FAQ,2384,4460,3850,17-Jan-15
4290,Gulbarga,Shahapur,Groundnut,Big (With Shell),FAQ,4069,4329,4150,17-Jan-15
4647,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3716,4672,4061,17-Jan-15
2750,Koppal,Kustagi,Groundnut,Gejje,FAQ,3009,4600,4550,18-Jan-15
3854,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,1800,4279,3250,18-Jan-15
710,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2511,4759,3680,19-Jan-15
967,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2900,4419,3631,19-Jan-15
1131,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2019,4649,4010,19-Jan-15
1761,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2369,3769,3289,19-Jan-15
1762,Gadag,Gadag,Groundnut,Gejje,FAQ,1001,4101,3689,19-Jan-15
2281,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3151,3175,3151,19-Jan-15
2282,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,1801,3475,2851,19-Jan-15
2283,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,2009,3225,2725,19-Jan-15
3001,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,3089,4150,3669,19-Jan-15
3002,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,3279,4315,4069,19-Jan-15
3094,Tumkur,Madhugiri,Groundnut,Big (With Shell),FAQ,2800,4000,3200,19-Jan-15
3367,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2578,4209,3148,19-Jan-15
3493,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,2481,4509,3400,19-Jan-15
3767,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2311,4545,3797,19-Jan-15
4122,Gadag,Rona,Groundnut,Gejje,FAQ,2910,4260,3810,19-Jan-15
4227,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,3731,4060,3896,19-Jan-15
4289,Gulbarga,Shahapur,Groundnut,Big (With Shell),FAQ,3770,4319,4169,19-Jan-15
4358,Gulbarga,Shorapur,Groundnut,Gejje,FAQ,4309,4571,4330,19-Jan-15
4646,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3629,4576,4169,19-Jan-15
529,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3700,20-Jan-15
966,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2819,4019,3486,20-Jan-15
2532,Koppal,Koppal,Groundnut,Gejje,FAQ,2259,4779,4386,20-Jan-15
2610,Bellary,Kottur,Groundnut,Natte,FAQ,2072,4110,3483,20-Jan-15
298,Chikmagalur,Bagepalli,Groundnut,Big (With Shell),FAQ,3500,4500,4000,21-Jan-15
528,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3500,4000,3750,21-Jan-15
709,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,3059,4766,3859,21-Jan-15
965,Chitradurga,Challakere,Groundnut,Gejje,FAQ,4015,4175,4105,21-Jan-15
1130,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,3309,4469,4071,21-Jan-15
1759,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2350,3759,3201,21-Jan-15
1760,Gadag,Gadag,Groundnut,Gejje,FAQ,2901,4125,3601,21-Jan-15
2531,Koppal,Koppal,Groundnut,Gejje,FAQ,2259,4779,4386,21-Jan-15
