"Min,Max,Modal Price from Karnataka[Ragi (Finger Millet)] from 01-Jan-2008To31-Dec-2008 (Total-2620) (Total-2620)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
265,Hassan,Arasikere,Ragi (Finger Millet),Medium,Medium,580,630,600,2-Jan-08
743,Kolar,Bangarpet,Ragi (Finger Millet),Medium,Large,1600,2000,1800,2-Jan-08
985,Kolar,Chickkaballapura,Ragi (Finger Millet),Local,FAQ,600,700,600,3-Jan-08
1518,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,530,570,550,3-Jan-08
1517,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,530,570,550,4-Jan-08
1678,Mandya,K.R. Pet,Ragi (Finger Millet),Local,Medium,580,600,600,4-Jan-08
1749,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,550,620,600,4-Jan-08
264,Hassan,Arasikere,Ragi (Finger Millet),Medium,Medium,570,630,600,5-Jan-08
1168,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,600,680,650,5-Jan-08
2172,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,527,665,625,5-Jan-08
2525,Chikmagalur,Tarikere,Ragi (Finger Millet),Local,FAQ,600,650,625,5-Jan-08
263,Hassan,Arasikere,Ragi (Finger Millet),Medium,Medium,580,630,610,6-Jan-08
831,Shimoga,Bhadravathi,Ragi (Finger Millet),Local,FAQ,300,400,350,6-Jan-08
1257,Tumkur,Gubbi,Ragi (Finger Millet),Local,FAQ,450,500,475,6-Jan-08
2280,Mandya,Nagamangala,Ragi (Finger Millet),Fine,Medium,600,720,680,6-Jan-08
262,Hassan,Arasikere,Ragi (Finger Millet),Medium,Medium,570,630,610,7-Jan-08
738,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,850,950,900,7-Jan-08
739,Bangalore,Bangalore,Ragi (Finger Millet),Local,FAQ,750,850,800,7-Jan-08
830,Shimoga,Bhadravathi,Ragi (Finger Millet),Local,FAQ,600,700,650,7-Jan-08
981,Hassan,Channarayapatna,Ragi (Finger Millet),Local,Medium,550,600,570,7-Jan-08
1082,Kolar,Chintamani,Ragi (Finger Millet),Local,FAQ,600,800,700,7-Jan-08
1319,Davangere,Harappana Halli,Ragi (Finger Millet),Local,FAQ,560,560,560,7-Jan-08
1516,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,550,600,575,7-Jan-08
1571,Chitradurga,Hosadurga,Ragi (Finger Millet),Feeds (Poultry Quality),FAQ,560,625,600,7-Jan-08
1748,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,500,600,550,7-Jan-08
2171,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,601,665,650,7-Jan-08
2323,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,550,650,600,7-Jan-08
2616,Tumkur,Tumkur,Ragi (Finger Millet),Fine,FAQ,580,700,640,7-Jan-08
261,Hassan,Arasikere,Ragi (Finger Millet),Medium,Small,580,630,600,8-Jan-08
736,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,750,950,900,8-Jan-08
737,Bangalore,Bangalore,Ragi (Finger Millet),Local,FAQ,750,850,800,8-Jan-08
1081,Kolar,Chintamani,Ragi (Finger Millet),Local,FAQ,600,800,700,8-Jan-08
1167,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,580,720,680,8-Jan-08
1392,Hassan,Hassan,Ragi (Finger Millet),Medium,FAQ,580,680,630,8-Jan-08
1570,Chitradurga,Hosadurga,Ragi (Finger Millet),Feeds (Poultry Quality),FAQ,600,625,610,8-Jan-08
2170,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,550,668,590,8-Jan-08
2279,Mandya,Nagamangala,Ragi (Finger Millet),Fine,Medium,600,690,650,8-Jan-08
2439,Tumkur,Sira,Ragi (Finger Millet),Local,FAQ,590,700,600,8-Jan-08
734,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,850,950,900,9-Jan-08
735,Bangalore,Bangalore,Ragi (Finger Millet),Local,FAQ,750,850,800,9-Jan-08
1166,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,580,730,680,9-Jan-08
1179,Bangalore,Doddaballa Pur,Ragi (Finger Millet),Other,FAQ,500,700,600,9-Jan-08
1186,Kolar,Gowribidanoor,Ragi (Finger Millet),Local,FAQ,600,680,660,9-Jan-08
2169,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,540,665,580,9-Jan-08
