"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Maize",,,,,
,,"Summer     ",31,87,2.81
,,"Total",961,2060,2.14
," 2016-17","Kharif     ",253,391,1.55
,,"Rabi       ",4,12,3.00
,,"Summer     ",104,322,3.10
,,"Total",361,725,2.01
," 2017-18","Kharif     ",38,165,4.34
,,"Rabi       ",18,67,3.72
,,"Summer     ",4,15,3.75
,,"Total",60,247,4.12
," 2018-19","Kharif     ",127,334,2.63
,,"Rabi       ",1,3,3.00
,,"Total",128,337,2.63
"Total - Maize",,,14287277.00,42177989,2.95
