"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
598,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,900,1200,1020,6-Jan-12
810,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1172,1120,6-Jan-12
1030,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1050,1000,6-Jan-12
1059,Gulbarga,Chittapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1000,1000,6-Jan-12
1332,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,921,1151,1042,6-Jan-12
1497,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,950,950,6-Jan-12
1660,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1045,1045,1045,6-Jan-12
1948,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1086,1086,1086,6-Jan-12
2094,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1002,995,6-Jan-12
391,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,Large,1000,1540,1400,7-Jan-12
392,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1540,1400,7-Jan-12
597,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,915,1200,1050,7-Jan-12
809,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1080,1130,1120,7-Jan-12
1029,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,901,901,901,7-Jan-12
1331,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,925,1152,1025,7-Jan-12
1422,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1000,1000,7-Jan-12
1496,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1001,950,7-Jan-12
1506,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,1003,1003,1003,7-Jan-12
1659,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,953,1061,1040,7-Jan-12
1843,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,995,995,995,7-Jan-12
1947,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1046,1046,1046,7-Jan-12
2093,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1006,980,7-Jan-12
2357,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1160,1005,7-Jan-12
1421,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1060,1060,1060,8-Jan-12
1495,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1011,951,8-Jan-12
1842,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,8-Jan-12
2021,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,900,1000,975,8-Jan-12
263,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1001,980,9-Jan-12
390,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1540,1400,9-Jan-12
596,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,915,1250,1100,9-Jan-12
808,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1120,1231,1120,9-Jan-12
819,Bidar,Bidar,Bajra(Pearl Millet/Cumbu),Local,FAQ,937,985,937,9-Jan-12
1028,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1020,950,9-Jan-12
1058,Gulbarga,Chittapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,999,1005,1005,9-Jan-12
1330,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,931,1178,1055,9-Jan-12
1505,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1011,1003,9-Jan-12
1621,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1011,1051,1027,9-Jan-12
