"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
371,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1100,1400,1220,15-Mar-12
986,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,15-Mar-12
1285,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,931,1175,1052,15-Mar-12
1482,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,915,915,915,15-Mar-12
1604,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1012,1007,15-Mar-12
1810,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1090,1035,15-Mar-12
2305,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1085,1275,1180,15-Mar-12
122,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,945,1020,980,16-Mar-12
123,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,945,1020,980,16-Mar-12
370,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1380,1200,16-Mar-12
549,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1000,960,16-Mar-12
781,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1061,1239,1173,16-Mar-12
985,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1080,1045,16-Mar-12
1284,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,972,1152,1025,16-Mar-12
1925,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,950,950,16-Mar-12
2304,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1305,1175,16-Mar-12
231,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,981,981,981,17-Mar-12
548,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,940,960,950,17-Mar-12
780,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1115,1115,1115,17-Mar-12
984,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,17-Mar-12
1283,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,932,1154,1052,17-Mar-12
1809,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1090,1035,17-Mar-12
2303,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1290,1205,17-Mar-12
2362,Bijapur,Sindagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,900,900,17-Mar-12
1404,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1000,1000,18-Mar-12
1808,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,18-Mar-12
2011,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,890,1000,940,18-Mar-12
121,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,800,1300,1000,19-Mar-12
547,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1200,1100,19-Mar-12
779,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1100,1000,19-Mar-12
983,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1030,1100,1060,19-Mar-12
1282,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,926,1172,1031,19-Mar-12
1603,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1015,1022,1019,19-Mar-12
1807,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1051,1051,1051,19-Mar-12
2302,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,915,1330,1120,19-Mar-12
2385,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1000,1000,1000,19-Mar-12
369,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1380,1200,20-Mar-12
546,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1150,1000,20-Mar-12
778,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1081,1329,1216,20-Mar-12
982,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1550,1300,20-Mar-12
1281,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,958,1152,1025,20-Mar-12
1481,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,900,900,20-Mar-12
1806,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1040,1040,1040,20-Mar-12
2301,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,910,1310,1110,20-Mar-12
545,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1120,1050,21-Mar-12
981,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1075,21-Mar-12
1280,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,951,1175,1005,21-Mar-12
1403,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,950,950,950,21-Mar-12
1480,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,900,900,21-Mar-12
1805,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,21-Mar-12
2300,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1310,1155,21-Mar-12
119,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,950,975,975,22-Mar-12
120,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,975,975,22-Mar-12
980,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1070,22-Mar-12
1402,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,875,900,900,22-Mar-12
1602,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1033,1033,1033,22-Mar-12
1804,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,22-Mar-12
2299,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1300,1150,22-Mar-12
230,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,975,1021,1021,23-Mar-12
2298,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,955,1305,1130,23-Mar-12
544,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1200,1050,24-Mar-12
979,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1100,1050,24-Mar-12
1279,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,955,1182,1055,24-Mar-12
1401,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1100,1100,1100,24-Mar-12
1803,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,24-Mar-12
2297,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1170,1325,1245,24-Mar-12
1802,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,0,0,25-Mar-12
2009,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,900,1050,960,25-Mar-12
2010,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,900,1050,960,25-Mar-12
229,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1011,1011,1011,26-Mar-12
368,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1380,1200,26-Mar-12
543,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1000,965,26-Mar-12
1278,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,951,1205,1075,26-Mar-12
1801,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,26-Mar-12
1924,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,989,1039,1039,26-Mar-12
2296,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1360,1255,26-Mar-12
542,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1151,1000,27-Mar-12
777,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1055,1191,1111,27-Mar-12
815,Bidar,Bidar,Bajra(Pearl Millet/Cumbu),Local,FAQ,1855,1855,1855,27-Mar-12
1277,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,955,1175,1051,27-Mar-12
1601,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,27-Mar-12
1800,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,27-Mar-12
1923,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,966,966,966,27-Mar-12
2295,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1380,1090,27-Mar-12
118,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1400,1100,28-Mar-12
978,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,28-Mar-12
1276,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,951,1171,1075,28-Mar-12
1600,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,28-Mar-12
1799,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,28-Mar-12
541,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1001,980,29-Mar-12
1077,Koppal,Gangavathi,Bajra(Pearl Millet/Cumbu),Local,FAQ,1005,1020,1005,29-Mar-12
1275,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,975,1204,1058,29-Mar-12
1599,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1016,1030,1023,29-Mar-12
1798,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1050,1015,29-Mar-12
117,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,980,1000,985,30-Mar-12
540,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,930,1125,1110,30-Mar-12
776,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1032,1100,1062,30-Mar-12
977,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,30-Mar-12
1274,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,935,1201,1025,30-Mar-12
2421,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,950,950,30-Mar-12
976,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,31-Mar-12
1273,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,931,1211,1011,31-Mar-12
1797,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,31-Mar-12
2420,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,990,1015,1000,31-Mar-12
1796,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1061,1061,1061,1-Apr-12
2007,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,950,1080,980,1-Apr-12
2008,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1080,980,1-Apr-12
116,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,980,1400,1000,2-Apr-12
775,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1186,1209,1209,2-Apr-12
975,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,2-Apr-12
1272,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,981,1205,1051,2-Apr-12
1598,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1031,1061,1046,2-Apr-12
1795,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1061,1061,1061,2-Apr-12
1922,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,988,988,988,2-Apr-12
2294,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1055,1335,1195,2-Apr-12
2419,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1025,950,2-Apr-12
367,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1420,1300,3-Apr-12
539,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1150,1020,3-Apr-12
774,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,809,1120,1083,3-Apr-12
1271,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1026,1251,1105,3-Apr-12
1794,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1061,1061,1061,3-Apr-12
1921,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1034,1034,1034,3-Apr-12
2293,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1125,1350,1235,3-Apr-12
2418,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1020,900,3-Apr-12
366,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1420,1300,5-Apr-12
538,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1100,1020,5-Apr-12
773,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1070,1070,5-Apr-12
974,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1095,1045,5-Apr-12
1270,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,975,1255,1101,5-Apr-12
1597,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1051,1066,1059,5-Apr-12
1793,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1061,1061,1061,5-Apr-12
2292,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1325,1160,5-Apr-12
2384,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1285,1285,1285,5-Apr-12
2417,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1028,950,5-Apr-12
2291,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1075,1340,1205,6-Apr-12
114,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1050,1055,1055,7-Apr-12
115,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1055,1055,7-Apr-12
228,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,975,975,975,7-Apr-12
365,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1420,1300,7-Apr-12
537,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1200,1000,7-Apr-12
973,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1085,1025,7-Apr-12
1269,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,971,1226,1075,7-Apr-12
1792,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1070,1070,7-Apr-12
2290,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1070,1300,1185,7-Apr-12
2416,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1035,950,7-Apr-12
1791,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1075,1075,1075,8-Apr-12
2005,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,965,1100,1010,8-Apr-12
2006,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,965,1100,1010,8-Apr-12
112,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,800,1300,1000,9-Apr-12
113,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,800,1300,1000,9-Apr-12
227,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1001,1001,9-Apr-12
536,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1100,1000,9-Apr-12
772,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1082,1088,1088,9-Apr-12
972,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,9-Apr-12
1268,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1005,1201,1075,9-Apr-12
1596,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1075,1075,1075,9-Apr-12
2289,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1290,1220,9-Apr-12
2415,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1035,950,9-Apr-12
535,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1171,1050,10-Apr-12
771,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1023,1183,1150,10-Apr-12
971,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1015,1095,1045,10-Apr-12
1267,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1010,1205,1092,10-Apr-12
1790,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1075,1075,1075,10-Apr-12
2288,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,910,1290,1100,10-Apr-12
534,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,975,1170,1000,11-Apr-12
770,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1093,1159,1109,11-Apr-12
1266,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,951,1175,1025,11-Apr-12
1400,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1100,1110,1110,11-Apr-12
1789,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1050,1050,11-Apr-12
2287,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1105,1275,1190,11-Apr-12
533,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,980,1050,1000,12-Apr-12
769,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1102,1133,1109,12-Apr-12
970,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1095,1055,12-Apr-12
1265,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,981,1251,1105,12-Apr-12
1595,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1076,1084,1080,12-Apr-12
1920,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,972,1018,1018,12-Apr-12
2286,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1325,1160,12-Apr-12
768,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1107,1161,1151,13-Apr-12
969,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1010,1090,1050,13-Apr-12
1264,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,975,1255,1076,13-Apr-12
1919,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,989,989,989,13-Apr-12
2285,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,1230,1090,13-Apr-12
110,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,800,1200,1000,16-Apr-12
111,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,800,1200,1000,16-Apr-12
364,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1420,1300,16-Apr-12
532,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,970,1100,1070,16-Apr-12
767,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1110,1170,1170,16-Apr-12
968,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1055,16-Apr-12
1263,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,955,1251,1101,16-Apr-12
1594,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1086,1086,1086,16-Apr-12
2284,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,960,1210,1085,16-Apr-12
363,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1420,1300,17-Apr-12
531,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,990,1101,1000,17-Apr-12
766,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1021,1249,1164,17-Apr-12
1262,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1051,1255,1126,17-Apr-12
1918,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1017,1017,1017,17-Apr-12
2283,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,785,1215,1000,17-Apr-12
2414,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1030,950,17-Apr-12
530,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,980,1100,1025,18-Apr-12
765,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1026,1139,1106,18-Apr-12
967,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1065,18-Apr-12
1261,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1055,1251,1112,18-Apr-12
2282,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1250,1125,18-Apr-12
108,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,900,1040,1000,19-Apr-12
109,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1040,1000,19-Apr-12
529,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,970,1100,1025,19-Apr-12
764,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1122,1145,1128,19-Apr-12
1260,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1081,1255,1126,19-Apr-12
1593,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1066,1079,1073,19-Apr-12
2281,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1200,1050,19-Apr-12
107,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1050,1000,20-Apr-12
362,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1045,1385,1180,20-Apr-12
528,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,970,1100,1050,20-Apr-12
763,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,990,1146,1137,20-Apr-12
966,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,20-Apr-12
1259,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1052,1251,1121,20-Apr-12
2280,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,750,1145,945,20-Apr-12
762,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1071,1135,1122,21-Apr-12
965,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1100,1050,21-Apr-12
1399,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1100,1100,1100,21-Apr-12
2279,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1315,1080,21-Apr-12
106,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1800,1500,23-Apr-12
226,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1022,1022,1022,23-Apr-12
527,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,960,1050,980,23-Apr-12
761,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1072,1121,1086,23-Apr-12
964,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1030,1100,1060,23-Apr-12
1258,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1051,1253,1152,23-Apr-12
1450,Bellary,Hoovinahadagali,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,980,950,23-Apr-12
2278,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,975,1235,1105,23-Apr-12
