"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Cotton(lint)",,,,"Bales*","Bales/Hectare"
," 2012-13","Kharif     ",11247,25893,2.30
,,"Rabi       ",1492,1843,1.24
,,"Summer     ",208,577,2.77
,,"Total",12947,28313,2.19
," 2013-14","Kharif     ",9881,23301,2.36
,,"Rabi       ",446,1201,2.69
,,"Summer     ",92,332,3.61
,,"Total",10419,24834,2.38
," 2014-15","Kharif     ",14303,32450,2.27
,,"Rabi       ",224,357,1.59
,,"Summer     ",37,70,1.89
,,"Total",14564,32877,2.26
," 2015-16","Kharif     ",7578,11264,1.49
,,"Rabi       ",130,155,1.19
,,"Summer     ",9,19,2.11
,,"Total",7717,11438,1.48
," 2016-17","Kharif     ",10272,27322,2.66
,,"Rabi       ",46,15,0.33
,,"Total",10318,27337,2.65
," 2017-18","Kharif     ",12003,32262,2.69
,,"Rabi       ",117,88,0.75
,,"Total",12120,32350,2.67
," 2018-19","Kharif     ",34297,59029,1.72
,,"Rabi       ",272,131,0.48
,,"Total",34569,59160,1.71
" 27.YADAGIRI"," 2010-11","Kharif     ",33316,87054,2.61
," 2011-12","Kharif     ",61892,109239,1.76
,,"Rabi       ",3,6,2.00
,,"Total",61895,109245,1.77
," 2012-13","Kharif     ",59706,183167,3.07
," 2013-14","Kharif     ",80504,381928,4.74
," 2014-15","Kharif     ",103866,362752,3.49
," 2015-16","Kharif     ",101418,197787,1.95
," 2016-17","Kharif     ",43011,103589,2.41
," 2017-18","Kharif     ",61479,399542,6.50
," 2018-19","Kharif     ",145784,256612,1.76
"Total - Cotton(lint)",,,6434768.00,14584637,2.27
