Compliance,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
60%,340.5665388,352.2451176,398.9704657,435.8890649,449.7527497,454.2852653,455.3822249,456.0914929,456.9368879,457.5591303,458.3389993
70%,340.5191421,360.6871706,408.843209,433.084931,441.702051,444.3972154,444.7210111,444.5990027,445.2545997,446.3340762,446.6444203
80%,340.2177363,370.2953839,409.1499081,426.7180137,431.172067,431.7466065,431.8014239,433.9895964,434.3593225,433.2651624,432.8029713
