State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Chamrajnagar,Kollegal,Maize,4,9,05-Jan-2009
Karnataka,KK,Chikmagalur,Tarikere,Maize,4,16,05-Jan-2009
Karnataka,KK,Kolar,Chickkaballapura,Maize,4,23,05-Jan-2009
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Maize,4,99,05-Jan-2009
Karnataka,KK,Shimoga,Shikaripura,Maize,4,156,05-Jan-2009
Karnataka,KK,Belgaum,Soundati,Maize,4,60,06-Jan-2009
Karnataka,KK,Bijapur,Bijapur,Maize,4,7,06-Jan-2009
Karnataka,KK,Haveri,Hirekerur,Maize,4,413,06-Jan-2009
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Maize,4,69,06-Jan-2009
Karnataka,KK,Shimoga,Shikaripura,Maize,4,17,06-Jan-2009
Karnataka,KK,Bangalore,Doddaballa Pur,Maize,4,260,07-Jan-2009
Karnataka,KK,Belgaum,Soundati,Maize,4,120,07-Jan-2009
Karnataka,KK,Chitradurga,Chitradurga,Maize,4,40,07-Jan-2009
Karnataka,KK,Gadag,Mundaragi,Maize,4,17,07-Jan-2009
Karnataka,KK,Karwar(Uttar Kannad),Haliyala,Maize,4,10,07-Jan-2009
Karnataka,KK,Kolar,Gowribidanoor,Maize,4,46,07-Jan-2009
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Maize,4,10,07-Jan-2009
Karnataka,KK,Shimoga,Shikaripura,Maize,4,1657,07-Jan-2009
Karnataka,KK,Belgaum,Kudchi,Maize,4,5,08-Jan-2009
Karnataka,KK,Hassan,Arasikere,Maize,4,6,08-Jan-2009
Karnataka,KK,Bagalkot,Bagalakot,Maize,4,337,09-Jan-2009
Karnataka,KK,Bangalore,Channapatana,Maize,4,7,09-Jan-2009
Karnataka,KK,Bangalore,Doddaballa Pur,Maize,4,336,09-Jan-2009
Karnataka,KK,Belgaum,Kudchi,Maize,4,5,09-Jan-2009
Karnataka,KK,Belgaum,Sankeshwar,Maize,4,65,09-Jan-2009
Karnataka,KK,Belgaum,Soundati,Maize,4,90,09-Jan-2009
Karnataka,KK,Bellary,Bellary,Maize,4,5,09-Jan-2009
Karnataka,KK,Bellary,Kottur,Maize,4,77,09-Jan-2009
Karnataka,KK,Bijapur,Sindagi,Maize,4,491,09-Jan-2009
Karnataka,KK,Chamrajnagar,Gundlupet,Maize,4,11,09-Jan-2009
Karnataka,KK,Chitradurga,Chitradurga,Maize,4,52,09-Jan-2009
Karnataka,KK,Davangere,Channagiri,Maize,4,59,09-Jan-2009
Karnataka,KK,Davangere,Honnali,Maize,4,173,09-Jan-2009
Karnataka,KK,Dharwad,Annigeri,Maize,4,100,09-Jan-2009
Karnataka,KK,Gadag,Gadag,Maize,4,38,09-Jan-2009
Karnataka,KK,Gadag,Mundaragi,Maize,4,34,09-Jan-2009
Karnataka,KK,Gadag,Rona,Maize,4,9,09-Jan-2009
Karnataka,KK,Hassan,Arasikere,Maize,4,8,09-Jan-2009
Karnataka,KK,Hassan,Belur,Maize,4,24,09-Jan-2009
Karnataka,KK,Hassan,Holenarsipura,Maize,4,8,09-Jan-2009
Karnataka,KK,Haveri,Hanagal,Maize,4,453,09-Jan-2009
Karnataka,KK,Haveri,Hirekerur,Maize,4,760,09-Jan-2009
Karnataka,KK,Haveri,Ranebennur,Maize,4,352,09-Jan-2009
Karnataka,KK,Koppal,Koppal,Maize,4,386,09-Jan-2009
Karnataka,KK,Mangalore(Dakshin Kannad),Puttur,Maize,4,116,09-Jan-2009
Karnataka,KK,Mysore,Mysore (Bandipalya),Maize,4,4,09-Jan-2009
Karnataka,KK,Mysore,Piriya Pattana,Maize,4,64,09-Jan-2009
Karnataka,KK,Bagalkot,Bagalakot,Maize,4,155,10-Jan-2009
Karnataka,KK,Bellary,Kottur,Maize,4,103,10-Jan-2009
Karnataka,KK,Dharwad,Hubli (Amaragol),Maize,4,10,10-Jan-2009
Karnataka,KK,Gadag,Mundaragi,Maize,4,43,10-Jan-2009
Karnataka,KK,Gadag,Rona,Maize,4,14,10-Jan-2009
