"Min,Max,Modal Price from Karnataka[Maize] from 01-Jan-2011To31-Dec-2011 (Total-8979) (Total-8979)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4250,Haveri,Haveri,Maize,Local,Medium,850,880,865,04-Jan-11
4568,Hassan,Holenarsipura,Maize,Local,FAQ,750,800,775,04-Jan-11
4787,Davangere,Honnali,Maize,Local,Medium,800,900,881,04-Jan-11
5098,Bellary,Hospet,Maize,Hybrid/Local,FAQ,860,905,865,04-Jan-11
5699,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,840,900,850,04-Jan-11
6067,Chamrajnagar,Kollegal,Maize,Local,Medium,900,1000,950,04-Jan-11
6545,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,04-Jan-11
6979,Chikmagalur,Moodigere,Maize,Local,FAQ,920,990,920,04-Jan-11
8885,Chikmagalur,Tarikere,Maize,Other,FAQ,950,992,973,04-Jan-11
197,Hassan,Arasikere,Maize,Local,Medium,800,990,900,05-Jan-11
918,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,900,930,915,05-Jan-11
1123,Bellary,Bellary,Maize,Local,FAQ,860,940,932,05-Jan-11
1351,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,850,900,875,05-Jan-11
1750,Chitradurga,Challakere,Maize,Yellow,Medium,870,915,900,05-Jan-11
1883,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,800,900,880,05-Jan-11
2281,Chitradurga,Chitradurga,Maize,Local,FAQ,669,910,880,05-Jan-11
3205,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,880,1020,950,05-Jan-11
3464,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,850,880,880,05-Jan-11
3966,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,05-Jan-11
4157,Hassan,Hassan,Maize,Local,FAQ,700,1060,992,05-Jan-11
4402,Haveri,Hirekerur,Maize,Hybrid/Local,Medium,910,930,920,05-Jan-11
4567,Hassan,Holenarsipura,Maize,Local,FAQ,750,850,800,05-Jan-11
4786,Davangere,Honnali,Maize,Local,Medium,900,980,966,05-Jan-11
4949,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,880,05-Jan-11
5097,Bellary,Hospet,Maize,Hybrid/Local,Medium,870,900,880,05-Jan-11
5238,Dharwad,Hubli (Amaragol),Maize,Local,Medium,766,836,806,05-Jan-11
5698,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,840,900,850,05-Jan-11
5868,Chikmagalur,Kadur,Maize,Local,FAQ,871,871,871,05-Jan-11
6066,Chamrajnagar,Kollegal,Maize,Local,Medium,900,1050,1000,05-Jan-11
6343,Bellary,Kottur,Maize,Hybrid/Local,Medium,740,950,893,05-Jan-11
6978,Chikmagalur,Moodigere,Maize,Other,FAQ,0,0,920,05-Jan-11
7354,Mysore,Mysore (Bandipalya),Maize,Local,Medium,889,905,903,05-Jan-11
7706,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,700,850,765,05-Jan-11
8487,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,820,880,860,05-Jan-11
196,Hassan,Arasikere,Maize,Local,Medium,800,980,900,06-Jan-11
407,Belgaum,Athani,Maize,Local,FAQ,880,950,900,06-Jan-11
1350,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,880,1010,945,06-Jan-11
1882,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,750,950,880,06-Jan-11
3204,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,880,1030,970,06-Jan-11
3463,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,850,910,875,06-Jan-11
3965,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,06-Jan-11
4156,Hassan,Hassan,Maize,Local,FAQ,800,1050,992,06-Jan-11
4249,Haveri,Haveri,Maize,Local,Medium,880,900,890,06-Jan-11
4401,Haveri,Hirekerur,Maize,Hybrid/Local,Medium,850,900,880,06-Jan-11
4566,Hassan,Holenarsipura,Maize,Local,FAQ,800,850,825,06-Jan-11
4785,Davangere,Honnali,Maize,Local,Medium,800,900,898,06-Jan-11
4948,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,920,850,06-Jan-11
5237,Dharwad,Hubli (Amaragol),Maize,Local,Medium,765,836,825,06-Jan-11
5867,Chikmagalur,Kadur,Maize,Local,FAQ,872,872,872,06-Jan-11
6065,Chamrajnagar,Kollegal,Maize,Local,Medium,950,1050,1000,06-Jan-11
6342,Bellary,Kottur,Maize,Hybrid/Local,Medium,760,945,887,06-Jan-11
6544,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,06-Jan-11
7353,Mysore,Mysore (Bandipalya),Maize,Local,Medium,720,885,876,06-Jan-11
8486,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,840,880,860,06-Jan-11
8632,Tumkur,Sira,Maize,Local,FAQ,1000,1020,1015,06-Jan-11
8884,Chikmagalur,Tarikere,Maize,Other,FAQ,960,1023,985,06-Jan-11
195,Hassan,Arasikere,Maize,Local,Medium,850,950,900,07-Jan-11
917,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,07-Jan-11
1749,Chitradurga,Challakere,Maize,Yellow,Medium,880,922,900,07-Jan-11
1881,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,800,900,880,07-Jan-11
1996,Hassan,Channarayapatna,Maize,Local,FAQ,789,789,789,07-Jan-11
2280,Chitradurga,Chitradurga,Maize,Local,FAQ,670,922,870,07-Jan-11
3203,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,880,1030,970,07-Jan-11
4155,Hassan,Hassan,Maize,Local,FAQ,700,1000,980,07-Jan-11
4248,Haveri,Haveri,Maize,Local,Medium,870,940,904,07-Jan-11
4400,Haveri,Hirekerur,Maize,Hybrid/Local,Medium,814,915,880,07-Jan-11
4565,Hassan,Holenarsipura,Maize,Local,FAQ,800,850,825,07-Jan-11
4784,Davangere,Honnali,Maize,Local,Medium,850,900,880,07-Jan-11
4947,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,07-Jan-11
5236,Dharwad,Hubli (Amaragol),Maize,Local,Medium,841,841,841,07-Jan-11
5697,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,840,900,850,07-Jan-11
6064,Chamrajnagar,Kollegal,Maize,Local,Medium,850,925,900,07-Jan-11
7352,Mysore,Mysore (Bandipalya),Maize,Local,Medium,841,892,870,07-Jan-11
7552,Gadag,Nargunda,Maize,Local,FAQ,870,907,880,07-Jan-11
8485,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,880,880,880,07-Jan-11
8798,Belgaum,Soundati,Maize,Local,FAQ,875,905,894,07-Jan-11
8883,Chikmagalur,Tarikere,Maize,Other,FAQ,960,1050,985,07-Jan-11
1748,Chitradurga,Challakere,Maize,Yellow,Medium,876,920,900,08-Jan-11
4409,Chitradurga,Hiriyur,Maize,Hybrid/Local,FAQ,751,892,822,08-Jan-11
4564,Hassan,Holenarsipura,Maize,Local,FAQ,750,920,780,08-Jan-11
5235,Dharwad,Hubli (Amaragol),Maize,Local,Medium,842,842,842,08-Jan-11
7705,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,823,823,823,08-Jan-11
8797,Belgaum,Soundati,Maize,Local,FAQ,875,905,894,08-Jan-11
406,Belgaum,Athani,Maize,Local,FAQ,880,925,890,09-Jan-11
1349,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,850,1038,940,09-Jan-11
1747,Chitradurga,Challakere,Maize,Yellow,Medium,761,931,910,09-Jan-11
3461,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,850,890,880,09-Jan-11
3462,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,850,890,880,09-Jan-11
4563,Hassan,Holenarsipura,Maize,Local,FAQ,750,900,800,09-Jan-11
194,Hassan,Arasikere,Maize,Local,Medium,800,950,900,10-Jan-11
916,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,10-Jan-11
1122,Bellary,Bellary,Maize,Local,FAQ,838,940,925,10-Jan-11
1348,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,900,1000,950,10-Jan-11
1746,Chitradurga,Challakere,Maize,Yellow,FAQ,765,930,900,10-Jan-11
1880,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,750,950,880,10-Jan-11
2100,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,0,0,970,10-Jan-11
2149,Kolar,Chintamani,Maize,Local,FAQ,880,900,890,10-Jan-11
2279,Chitradurga,Chitradurga,Maize,Local,FAQ,840,912,880,10-Jan-11
3460,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,850,880,880,10-Jan-11
3964,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,10-Jan-11
4154,Hassan,Hassan,Maize,Local,FAQ,750,1000,970,10-Jan-11
4562,Hassan,Holenarsipura,Maize,Local,FAQ,750,800,780,10-Jan-11
4783,Davangere,Honnali,Maize,Local,Medium,900,960,941,10-Jan-11
4946,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,10-Jan-11
5234,Dharwad,Hubli (Amaragol),Maize,Local,Medium,843,843,843,10-Jan-11
5696,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,800,880,850,10-Jan-11
5866,Chikmagalur,Kadur,Maize,Local,FAQ,870,870,870,10-Jan-11
6063,Chamrajnagar,Kollegal,Maize,Local,Medium,900,1000,950,10-Jan-11
6170,Koppal,Koppal,Maize,Yellow,FAQ,801,923,906,10-Jan-11
6341,Bellary,Kottur,Maize,Hybrid/Local,Medium,650,966,882,10-Jan-11
6543,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,10-Jan-11
6977,Chikmagalur,Moodigere,Maize,Local,FAQ,0,0,920,10-Jan-11
8038,Mysore,Santhesargur,Maize,Local,FAQ,700,700,700,10-Jan-11
8484,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,850,880,870,10-Jan-11
8882,Chikmagalur,Tarikere,Maize,Other,FAQ,840,1060,970,10-Jan-11
193,Hassan,Arasikere,Maize,Local,Medium,800,940,900,11-Jan-11
915,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,11-Jan-11
1121,Bellary,Bellary,Maize,Local,FAQ,850,940,933,11-Jan-11
1347,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,890,1000,950,11-Jan-11
1745,Chitradurga,Challakere,Maize,Yellow,Medium,770,926,900,11-Jan-11
1879,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,850,1000,930,11-Jan-11
3202,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,900,1000,950,11-Jan-11
3459,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,860,860,860,11-Jan-11
3963,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,11-Jan-11
4399,Haveri,Hirekerur,Maize,Hybrid/Local,Medium,870,870,870,11-Jan-11
4782,Davangere,Honnali,Maize,Local,Medium,900,960,921,11-Jan-11
4945,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,11-Jan-11
5695,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,800,880,850,11-Jan-11
6062,Chamrajnagar,Kollegal,Maize,Local,Medium,850,925,900,11-Jan-11
6542,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,11-Jan-11
6976,Chikmagalur,Moodigere,Maize,Local,FAQ,0,0,920,11-Jan-11
8483,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,880,880,880,11-Jan-11
8881,Chikmagalur,Tarikere,Maize,Other,FAQ,840,1060,985,11-Jan-11
192,Hassan,Arasikere,Maize,Local,Medium,800,900,850,12-Jan-11
914,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,12-Jan-11
1744,Chitradurga,Challakere,Maize,Yellow,Medium,870,930,900,12-Jan-11
1878,Davangere,Channagiri,Maize,Local,FAQ,850,950,900,12-Jan-11
2148,Kolar,Chintamani,Maize,Local,FAQ,850,900,875,12-Jan-11
2278,Chitradurga,Chitradurga,Maize,Local,FAQ,767,906,860,12-Jan-11
3033,Madikeri(Kodagu),Gonikappal,Maize,Local,FAQ,990,999,999,12-Jan-11
3201,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,890,950,920,12-Jan-11
3458,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,865,880,875,12-Jan-11
4153,Hassan,Hassan,Maize,Local,FAQ,700,1060,960,12-Jan-11
4561,Hassan,Holenarsipura,Maize,Local,FAQ,750,920,800,12-Jan-11
4781,Davangere,Honnali,Maize,Local,Medium,800,890,880,12-Jan-11
5096,Bellary,Hospet,Maize,Hybrid/Local,Small,880,910,905,12-Jan-11
5865,Chikmagalur,Kadur,Maize,Local,FAQ,904,904,904,12-Jan-11
6061,Chamrajnagar,Kollegal,Maize,Local,Medium,850,1050,900,12-Jan-11
6975,Chikmagalur,Moodigere,Maize,Other,FAQ,0,0,920,12-Jan-11
7351,Mysore,Mysore (Bandipalya),Maize,Local,Medium,618,901,870,12-Jan-11
7358,Mandya,Nagamangala,Maize,Hybrid/Local,Medium,920,920,920,12-Jan-11
7551,Gadag,Nargunda,Maize,Local,FAQ,900,1010,910,12-Jan-11
7704,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,776,850,800,12-Jan-11
8880,Chikmagalur,Tarikere,Maize,Other,FAQ,850,975,917,12-Jan-11
913,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,13-Jan-11
1346,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,850,990,890,13-Jan-11
3200,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,950,1000,970,13-Jan-11
3285,Chamrajnagar,Gundlupet,Maize,Local,FAQ,940,940,940,13-Jan-11
3457,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,850,880,880,13-Jan-11
4152,Hassan,Hassan,Maize,Local,FAQ,700,1003,960,13-Jan-11
4398,Haveri,Hirekerur,Maize,Hybrid/Local,Medium,800,880,860,13-Jan-11
4560,Hassan,Holenarsipura,Maize,Local,FAQ,750,895,780,13-Jan-11
4780,Davangere,Honnali,Maize,Local,FAQ,900,1000,929,13-Jan-11
4944,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,13-Jan-11
5694,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,800,880,850,13-Jan-11
5864,Chikmagalur,Kadur,Maize,Local,FAQ,900,900,900,13-Jan-11
6060,Chamrajnagar,Kollegal,Maize,Local,Medium,850,1000,950,13-Jan-11
6169,Koppal,Koppal,Maize,Yellow,FAQ,786,924,885,13-Jan-11
6340,Bellary,Kottur,Maize,Hybrid/Local,Medium,718,945,883,13-Jan-11
6541,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,850,870,860,13-Jan-11
7350,Mysore,Mysore (Bandipalya),Maize,Local,Medium,736,888,868,13-Jan-11
7550,Gadag,Nargunda,Maize,Local,FAQ,870,920,900,13-Jan-11
8258,Shimoga,Shikaripura,Maize,Local,Medium,820,860,840,13-Jan-11
8482,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,880,880,880,13-Jan-11
8879,Chikmagalur,Tarikere,Maize,Other,FAQ,850,980,895,13-Jan-11
191,Hassan,Arasikere,Maize,Local,Medium,800,990,900,14-Jan-11
912,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,14-Jan-11
1877,Davangere,Channagiri,Maize,Local,FAQ,850,1000,900,14-Jan-11
2277,Chitradurga,Chitradurga,Maize,Local,FAQ,704,886,845,14-Jan-11
3199,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,950,1000,970,14-Jan-11
3962,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,14-Jan-11
4151,Hassan,Hassan,Maize,Local,FAQ,642,1037,991,14-Jan-11
4559,Hassan,Holenarsipura,Maize,Local,FAQ,780,910,800,14-Jan-11
4779,Davangere,Honnali,Maize,Local,Medium,900,1000,990,14-Jan-11
4943,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,14-Jan-11
5693,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,850,850,850,14-Jan-11
5863,Chikmagalur,Kadur,Maize,Local,FAQ,803,900,867,14-Jan-11
6059,Chamrajnagar,Kollegal,Maize,Local,Medium,850,950,900,14-Jan-11
6974,Chikmagalur,Moodigere,Maize,Other,FAQ,0,0,930,14-Jan-11
7349,Mysore,Mysore (Bandipalya),Maize,Local,Medium,736,886,841,14-Jan-11
7549,Gadag,Nargunda,Maize,Local,FAQ,900,935,915,14-Jan-11
7703,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,795,900,800,14-Jan-11
7755,Haveri,Ranebennur,Maize,Local,Medium,820,987,900,14-Jan-11
8257,Shimoga,Shikaripura,Maize,Local,Medium,820,860,840,14-Jan-11
8878,Chikmagalur,Tarikere,Maize,Other,FAQ,840,1003,940,14-Jan-11
4408,Chitradurga,Hiriyur,Maize,Hybrid/Local,FAQ,786,891,839,15-Jan-11
4558,Hassan,Holenarsipura,Maize,Local,FAQ,780,850,800,15-Jan-11
7702,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,625,625,625,15-Jan-11
8576,Bijapur,Sindagi,Maize,Hybrid/Local,FAQ,900,900,900,15-Jan-11
1345,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,890,1010,950,16-Jan-11
3456,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,840,900,880,16-Jan-11
5095,Bellary,Hospet,Maize,Hybrid/Local,FAQ,890,900,895,16-Jan-11
190,Hassan,Arasikere,Maize,Local,Medium,800,980,900,17-Jan-11
405,Belgaum,Athani,Maize,Local,FAQ,890,1000,950,17-Jan-11
508,Bagalkot,Badami,Maize,Hybrid/Local,Medium,895,896,896,17-Jan-11
637,Bagalkot,Bagalakot,Maize,Hybrid/Local,FAQ,850,915,900,17-Jan-11
911,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,930,980,950,17-Jan-11
929,Kolar,Bangarpet,Maize,Hybrid/Local,FAQ,900,1050,950,17-Jan-11
1120,Bellary,Bellary,Maize,Local,FAQ,830,929,919,17-Jan-11
1236,Hassan,Belur,Maize,Hybrid/Local,FAQ,925,975,950,17-Jan-11
1344,Shimoga,Bhadravathi,Maize,Hybrid/Local,FAQ,890,930,910,17-Jan-11
1558,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,822,908,900,17-Jan-11
1743,Chitradurga,Challakere,Maize,Yellow,Medium,855,955,910,17-Jan-11
1876,Davangere,Channagiri,Maize,Hybrid/Local,FAQ,800,900,880,17-Jan-11
1917,Bangalore,Channapatana,Maize,Local,FAQ,1020,1020,1020,17-Jan-11
1995,Hassan,Channarayapatna,Maize,Hybrid/Local,Medium,980,980,980,17-Jan-11
2276,Chitradurga,Chitradurga,Maize,Local,FAQ,777,910,870,17-Jan-11
2512,Davangere,Davangere,Maize,Local,FAQ,772,880,830,17-Jan-11
2794,Bangalore,Doddaballa Pur,Maize,Local,FAQ,900,1000,950,17-Jan-11
3000,Gadag,Gadag,Maize,Local,FAQ,645,889,775,17-Jan-11
3198,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,950,1000,970,17-Jan-11
3284,Chamrajnagar,Gundlupet,Maize,Local,FAQ,950,1020,950,17-Jan-11
3454,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,880,880,880,17-Jan-11
3455,Bellary,H.B. Halli,Maize,Hybrid/Local,FAQ,880,880,880,17-Jan-11
3515,Karwar(Uttar Kannad),Haliyala,Maize,Hybrid/Local,FAQ,830,830,830,17-Jan-11
3646,Haveri,Hanagal,Maize,Hybrid/Local,FAQ,835,920,835,17-Jan-11
3831,Davangere,Harappana Halli,Maize,Hybrid/Local,FAQ,850,930,895,17-Jan-11
3961,Davangere,Harihara,Maize,Hybrid/Local,FAQ,880,880,880,17-Jan-11
4150,Hassan,Hassan,Maize,Local,FAQ,700,1040,975,17-Jan-11
4247,Haveri,Haveri,Maize,Local,Medium,900,911,905,17-Jan-11
4557,Hassan,Holenarsipura,Maize,Local,FAQ,800,910,900,17-Jan-11
4778,Davangere,Honnali,Maize,Local,Medium,880,980,900,17-Jan-11
4942,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,800,900,850,17-Jan-11
5044,Chitradurga,Hosadurga,Maize,Hybrid/Local,Medium,990,1094,1030,17-Jan-11
5094,Bellary,Hospet,Maize,Hybrid/Local,FAQ,865,865,865,17-Jan-11
5233,Dharwad,Hubli (Amaragol),Maize,Local,Medium,861,861,861,17-Jan-11
5267,Bagalkot,Hungund,Maize,Local,FAQ,881,881,881,17-Jan-11
5406,Mysore,Hunsur,Maize,Hybrid/Local,Medium,650,980,980,17-Jan-11
5496,Davangere,Jagalur,Maize,Hybrid/Local,Medium,820,900,850,17-Jan-11
5692,Bagalkot,Jamakhandi,Maize,Hybrid/Local,Medium,800,903,880,17-Jan-11
5754,Mysore,K.R.Nagar,Maize,Hybrid/Local,Medium,800,800,800,17-Jan-11
5862,Chikmagalur,Kadur,Maize,Local,FAQ,900,900,900,17-Jan-11
