"Min,Max,Modal Price from Karnataka[Jowar(Sorghum)] from 01-Jan-2012To31-Dec-2012 (Total-4954) (Total-4954)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1060,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2500,2900,2700,5-Jan-12
1317,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1026,1687,1340,5-Jan-12
1715,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2230,3825,3705,5-Jan-12
1886,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3500,3200,5-Jan-12
2451,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1165,2758,2400,5-Jan-12
2775,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2751,3905,3611,5-Jan-12
2776,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,962,1871,1562,5-Jan-12
3098,Dharwad,Hubli (Amaragol),Jowar(Sorghum),Jowar ( White),Medium,1619,3109,3109,5-Jan-12
3297,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,950,1350,1100,5-Jan-12
3305,Bagalkot,Hungund,Jowar(Sorghum),Local,FAQ,3503,3503,3503,5-Jan-12
3422,Koppal,Koppal,Jowar(Sorghum),Hybrid,FAQ,801,801,801,5-Jan-12
3451,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,952,1269,1269,5-Jan-12
3844,Mysore,Mysore (Bandipalya),Jowar(Sorghum),Local,FAQ,201,990,975,5-Jan-12
26,Bidar,Aurad,Jowar(Sorghum),Jowar Hybrid,FAQ,1301,1301,1301,6-Jan-12
357,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,2800,3500,3000,6-Jan-12
358,Bangalore,Bangalore,Jowar(Sorghum),Bijapur,FAQ,3000,3500,3250,6-Jan-12
776,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,1931,1931,1931,6-Jan-12
777,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1000,1351,1100,6-Jan-12
1059,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2500,2900,2700,6-Jan-12
1316,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1050,1609,1266,6-Jan-12
1714,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2230,3821,3755,6-Jan-12
1885,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3600,3300,6-Jan-12
2450,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1151,2981,2600,6-Jan-12
2773,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2801,3905,3552,6-Jan-12
2774,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,962,1752,1551,6-Jan-12
3009,Bellary,Hospet,Jowar(Sorghum),Jowar Hybrid,Large,1600,1600,1600,6-Jan-12
3296,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,900,1350,1000,6-Jan-12
3450,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,943,1321,1265,6-Jan-12
3728,Gadag,Laxmeshwar,Jowar(Sorghum),Jowar ( White),FAQ,864,1890,1124,6-Jan-12
3889,Tumkur,Pavagada,Jowar(Sorghum),Jowar ( White),FAQ,700,900,800,6-Jan-12
4268,Raichur,Raichur,Jowar(Sorghum),Jowar ( White),FAQ,2479,2479,2479,6-Jan-12
4269,Raichur,Raichur,Jowar(Sorghum),Jowar Hybrid,FAQ,1178,1178,1178,6-Jan-12
4714,Karwar(Uttar Kannad),Siddapur,Jowar(Sorghum),Other,FAQ,4080,4080,4080,6-Jan-12
355,Bangalore,Bangalore,Jowar(Sorghum),Bijapur,Large,3000,3500,3250,7-Jan-12
356,Bangalore,Bangalore,Jowar(Sorghum),Bijapur,FAQ,3000,3500,3250,7-Jan-12
773,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar ( White),FAQ,2799,2799,2799,7-Jan-12
774,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,2000,2000,2000,7-Jan-12
775,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1020,1300,1100,7-Jan-12
1058,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2600,3000,2800,7-Jan-12
1315,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1302,1637,1426,7-Jan-12
1713,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2230,3821,3755,7-Jan-12
1884,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3200,3700,3400,7-Jan-12
2449,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1121,3001,2600,7-Jan-12
2771,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2701,3903,3604,7-Jan-12
2772,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,965,1805,1555,7-Jan-12
3097,Dharwad,Hubli (Amaragol),Jowar(Sorghum),Jowar ( White),Medium,2519,2519,2519,7-Jan-12
3295,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,950,1250,1000,7-Jan-12
3449,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,953,953,953,7-Jan-12
3727,Gadag,Laxmeshwar,Jowar(Sorghum),Jowar ( White),FAQ,1104,3109,2000,7-Jan-12
4267,Raichur,Raichur,Jowar(Sorghum),Jowar Hybrid,FAQ,2126,2126,2126,7-Jan-12
4713,Karwar(Uttar Kannad),Siddapur,Jowar(Sorghum),Other,FAQ,2500,4260,3380,7-Jan-12
4954,Shimoga,Thirthahalli,Jowar(Sorghum),Jowar ( White),FAQ,1000,1100,1050,7-Jan-12
1057,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2600,3000,2800,8-Jan-12
3294,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,900,1200,1000,8-Jan-12
3522,Koppal,Kustagi,Jowar(Sorghum),Jowar Hybrid,FAQ,930,930,930,8-Jan-12
4400,Belgaum,Ramdurga,Jowar(Sorghum),Local,Medium,2750,3300,3000,8-Jan-12
4401,Belgaum,Ramdurga,Jowar(Sorghum),Hybrid,FAQ,1400,1800,1650,8-Jan-12
354,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,2000,3000,2500,9-Jan-12
770,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar ( White),FAQ,3400,3400,3400,9-Jan-12
771,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,1800,1800,1800,9-Jan-12
772,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1020,1300,1150,9-Jan-12
1314,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1210,1656,1410,9-Jan-12
1712,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2195,3800,3700,9-Jan-12
