"Min,Max,Modal Price from Karnataka[Ragi (Finger Millet)] from 01-Jan-2010To31-Dec-2010 (Total-2829) (Total-2829)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1434,Hassan,Hassan,Ragi (Finger Millet),Other,FAQ,840,850,0,21-Aug-10
1443,Hassan,Hassan,Ragi (Finger Millet),Other,FAQ,900,900,0,25-Jun-10
1447,Hassan,Hassan,Ragi (Finger Millet),Other,FAQ,800,850,0,16-Jun-10
1448,Hassan,Hassan,Ragi (Finger Millet),Other,FAQ,975,1044,0,14-Jun-10
1726,Tumkur,Huliyar,Ragi (Finger Millet),Local,FAQ,960,0,0,30-Sep-10
2459,Mandya,Nagamangala,Ragi (Finger Millet),Fine,Medium,1020,1020,0,15-May-10
1748,Tumkur,Huliyar,Ragi (Finger Millet),Local,Medium,500,520,500,3-May-10
1813,Mysore,K.R.Nagar,Ragi (Finger Millet),Fine,Medium,580,580,580,23-Mar-10
1324,Davangere,Harappana Halli,Ragi (Finger Millet),Local,Small,600,600,600,7-Aug-10
1775,Tumkur,Huliyar,Ragi (Finger Millet),Local,FAQ,580,650,600,19-Jan-10
2507,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,617,670,635,15-Dec-10
2365,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,505,880,638,18-Mar-10
1383,Davangere,Harappana Halli,Ragi (Finger Millet),Local,Small,600,680,640,10-Mar-10
2370,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,555,911,640,9-Mar-10
1837,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,645,645,645,18-Nov-10
1857,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,650,650,650,29-Sep-10
2716,Chikmagalur,Tarikere,Ragi (Finger Millet),Local,FAQ,650,650,650,27-Apr-10
2533,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,600,700,665,30-Jun-10
2371,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,555,896,667,8-Mar-10
1862,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,670,670,670,8-Sep-10
1863,Chikmagalur,Kadur,Ragi (Finger Millet),Red,FAQ,670,670,670,8-Sep-10
1933,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,671,671,671,21-May-10
1934,Chikmagalur,Kadur,Ragi (Finger Millet),Red,FAQ,671,671,671,21-May-10
1839,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,675,675,675,15-Nov-10
22,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,680,680,680,29-Nov-10
1221,Tumkur,Gubbi,Ragi (Finger Millet),Local,FAQ,680,680,680,10-Nov-10
1360,Davangere,Harappana Halli,Ragi (Finger Millet),Local,Small,600,760,680,7-May-10
1386,Davangere,Harappana Halli,Ragi (Finger Millet),Local,FAQ,680,680,680,4-Mar-10
1982,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,680,680,680,30-Jan-10
1983,Chikmagalur,Kadur,Ragi (Finger Millet),Red,FAQ,680,680,680,30-Jan-10
2512,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,680,680,680,29-Oct-10
2560,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,620,740,683,1-Jan-10
2500,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,689,689,689,28-Dec-10
2197,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,530,820,692,2-Dec-10
