Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
4178,Nanded,3750,4350,4250
4179,Nanded,2750,4500,3525
4180,Nanded,2600,3800,3200
4181,Nanded,3600,4505,3825
4182,Nanded,3600,5000,3800
4183,Nanded,3450,5100,3800
4184,Nanded,2600,4300,3000
4185,Nanded,2800,5000,3200
4186,Nanded,2700,4600,4600
4187,Nanded,2900,3000,2900
4188,Nanded,2750,4000,2750
4189,Nanded,3151,6101,4600
4190,Nanded,3100,3500,3500
4191,Nanded,3200,3200,3200
4192,Nanded,3000,4500,3500
4193,Nanded,2100,3500,3500
4194,Nanded,4000,4700,4700
4195,Nanded,4650,4650,4650
4196,Nashik,4900,5711,5602
4197,Nashik,4101,5239,4671
4198,Nashik,4000,5093,4700
4199,Nashik,3250,5254,4700
4200,Nashik,4260,5313,4851
4201,Nashik,4200,5171,5069
4202,Nashik,3001,5600,4801
4203,Nashik,4200,5300,4950
4204,Nashik,3500,5499,5100
4205,Nashik,4700,5721,5251
4206,Nashik,4700,5801,5200
4207,Nashik,4099,5999,5331
4208,Nashik,4515,5752,5431
4209,Nashik,4351,5700,5460
4210,Nashik,3900,6001,5450
4211,Nashik,2956,6000,5500
4212,Nashik,4199,5800,5610
4213,Nashik,3500,5612,5470
4214,Nashik,4500,5401,5380
4215,Nashik,3955,5357,5180
4216,Nashik,2861,5351,5251
4217,Nashik,3508,5241,5200
4218,Nashik,3300,5368,5101
4219,Nashik,4699,5700,5300
4220,Nashik,3299,5530,5000
4221,Nashik,3251,5800,5441
4222,Nashik,5300,5499,5436
4223,Nashik,4199,5555,5500
4224,Nashik,5376,5541,5456
4225,Nashik,4899,5625,5555
4226,Nashik,5572,6151,5985
4227,Amarawati,4700,4911,4805
4228,Amarawati,3981,4800,4395
4229,Amarawati,4750,5181,4965
4230,Amarawati,4050,4550,4300
4231,Amarawati,4150,4650,4400
4232,Amarawati,4371,4750,4560
4233,Amarawati,3250,3400,3325
4234,Amarawati,3500,4750,4125
4235,Amarawati,3350,4900,4125
4236,Amarawati,3381,4400,3890
4237,Amarawati,4150,4850,4500
4238,Amarawati,4251,4700,4475
4239,Amarawati,4400,4850,4625
4240,Amarawati,4450,4951,4700
4241,Amarawati,4200,4651,4425
4242,Amarawati,4431,4800,4615
4243,Amarawati,4350,4800,4575
4244,Amarawati,4451,4900,4675
4245,Amarawati,4151,4600,4375
4246,Amarawati,3750,4051,3900
4247,Amarawati,3350,4450,3900
4248,Amarawati,3250,3951,3600
