"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Jowar",,,,,
," 2014-15","Rabi       ",144817,134137,0.93
," 2015-16","Rabi       ",176980,97684,0.55
," 2016-17","Rabi       ",95544,92038,0.96
," 2017-18","Rabi       ",145997,140223,0.96
," 2018-19","Rabi       ",149508,97718,0.65
" 29.YADAGIRI"," 2010-11","Kharif     ",1080,1666,1.54
,,"Rabi       ",55633,58731,1.06
,,"Summer     ",20,42,2.10
,,"Total",56733,60439,1.07
," 2011-12","Kharif     ",278,368,1.32
,,"Rabi       ",50007,33855,0.68
,,"Summer     ",80,146,1.83
,,"Total",50365,34369,0.68
," 2012-13","Kharif     ",1222,1095,0.90
,,"Rabi       ",56954,59463,1.04
,,"Total",58176,60558,1.04
," 2013-14","Kharif     ",232,203,0.88
,,"Rabi       ",53608,71604,1.34
,,"Summer     ",11,18,1.64
,,"Total",53851,71825,1.33
," 2014-15","Kharif     ",490,441,0.90
,,"Rabi       ",41065,48023,1.17
,,"Summer     ",29,61,2.10
,,"Total",41584,48525,1.17
," 2015-16","Kharif     ",190,194,1.02
,,"Rabi       ",36258,27177,0.75
,,"Summer     ",2,4,2.00
,,"Total",36450,27375,0.75
," 2016-17","Kharif     ",369,364,0.99
,,"Rabi       ",35754,43884,1.23
,,"Summer     ",11,15,1.36
,,"Total",36134,44263,1.22
," 2017-18","Kharif     ",151,351,2.32
,,"Rabi       ",44651,69609,1.56
,,"Summer     ",22,46,2.09
,,"Total",44824,70006,1.56
," 2018-19","Kharif     ",97,245,2.53
,,"Rabi       ",23354,24605,1.05
,,"Total",23451,24850,1.06
"Total - Jowar",,,12712125.00,12780652,1.01
