"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Jowar",,,,,
,,"Rabi       ",91205,125493,1.38
,,"Summer     ",375,831,2.22
,,"Total",92288,126667,1.37
," 2009-10","Kharif     ",519,432,0.83
,,"Rabi       ",110905,144492,1.30
,,"Summer     ",1078,834,0.77
,,"Total",112502,145758,1.30
," 2010-11","Kharif     ",346,413,1.19
,,"Rabi       ",112097,162948,1.45
,,"Summer     ",1085,1997,1.84
,,"Total",113528,165358,1.46
," 2011-12","Kharif     ",339,425,1.25
,,"Rabi       ",84790,61297,0.72
,,"Summer     ",1009,1745,1.73
,,"Total",86138,63467,0.74
," 2012-13","Kharif     ",81,115,1.42
,,"Rabi       ",108723,141813,1.30
,,"Summer     ",399,884,2.22
,,"Total",109203,142812,1.31
," 2013-14","Kharif     ",469,450,0.96
,,"Rabi       ",95243,133821,1.41
,,"Total",95712,134271,1.40
," 2014-15","Rabi       ",76744,107465,1.40
," 2015-16","Rabi       ",91397,90474,0.99
,,"Summer     ",140,277,1.98
,,"Total",91537,90751,0.99
," 2016-17","Kharif     ",125,145,1.16
,,"Rabi       ",70803,56030,0.79
,,"Total",70928,56175,0.79
," 2017-18","Rabi       ",67018,101931,1.52
,,"Summer     ",39,81,2.08
,,"Total",67057,102012,1.52
," 2018-19","Kharif     ",5113,7014,1.37
,,"Rabi       ",122630,170321,1.39
,,"Total",127743,177335,1.39
" 23.RAMANAGARA"," 2015-16","Rabi       ",76,51,0.67
," 2018-19","Kharif     ",1703,2336,1.37
" 24.SHIVAMOGGA"," 2008-09","Kharif     ",212,415,1.96
,,"Rabi       ",39,38,0.97
,,"Summer     ",65,148,2.28
,,"Total",316,601,1.90
," 2009-10","Kharif     ",506,933,1.84
,,"Rabi       ",9,8,0.89
,,"Summer     ",40,59,1.48
,,"Total",555,1000,1.80
," 2010-11","Kharif     ",438,660,1.51
,,"Rabi       ",6,6,1.00
,,"Summer     ",27,57,2.11
,,"Total",471,723,1.54
," 2011-12","Kharif     ",196,397,2.03
,,"Rabi       ",18,13,0.72
,,"Summer     ",89,163,1.83
,,"Total",303,573,1.89
," 2012-13","Kharif     ",318,664,2.09
,,"Rabi       ",35,35,1.00
,,"Summer     ",29,48,1.66
,,"Total",382,747,1.96
," 2013-14","Kharif     ",344,633,1.84
,,"Rabi       ",25,28,1.12
,,"Summer     ",14,23,1.64
,,"Total",383,684,1.79
," 2014-15","Kharif     ",309,662,2.14
,,"Rabi       ",42,46,1.10
,,"Summer     ",35,74,2.11
,,"Total",386,782,2.03
," 2015-16","Kharif     ",320,969,3.03
,,"Rabi       ",93,62,0.67
,,"Summer     ",5,10,2.00
,,"Total",418,1041,2.49
," 2016-17","Kharif     ",57,139,2.44
,,"Rabi       ",42,36,0.86
,,"Summer     ",6,8,1.33
,,"Total",105,183,1.74
," 2017-18","Kharif     ",98,325,3.32
,,"Rabi       ",42,47,1.12
,,"Summer     ",3,6,2.00
,,"Total",143,378,2.64
," 2018-19","Kharif     ",109,331,3.04
,,"Rabi       ",73,64,0.88
,,"Total",182,395,2.17
" 25.TUMAKURU"," 2008-09","Kharif     ",2278,3174,1.39
,,"Rabi       ",82,88,1.07
,,"Total",2360,3262,1.38
," 2009-10","Kharif     ",6767,5298,0.78
,,"Rabi       ",597,638,1.07
,,"Summer     ",3,4,1.33
,,"Total",7367,5940,0.81
," 2010-11","Kharif     ",434,329,0.76
," 2011-12","Kharif     ",195,160,0.82
," 2012-13","Rabi       ",3262,3291,1.01
,,"Summer     ",72,119,1.65
,,"Total",3334,3410,1.02
